Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Biological Process	GO:0007268	chemical synaptic transmission	2.65572127586185e-44	4.96857850231681e-41	1.21506547449575	3.37051473985023	enriched	591	248	216923.52284264	9369, 40, 1268, 7143, 10814, 774, 2902, 266743, 491, 2899, 5100, 22895, 127833, 729993, 777, 869, 1392, 1812, 2257, 2572, 2900, 2903, 3745, 4208, 5173, 7425, 9378, 9699, 11178, 22986, 22999, 23025, 56853, 57468, 57502, 140679, 152330, 116, 273, 785, 801, 1006, 1103, 1132, 1499, 1740, 1813, 1906, 2259, 2554, 2562, 2566, 2571, 2668, 2741, 2771, 2834, 2894, 2906, 2914, 2915, 2932, 3362, 3363, 3785, 3786, 4155, 4644, 4761, 4884, 4885, 5530, 5649, 5728, 5799, 5923, 6509, 6543, 6547, 6616, 6853, 6900, 7101, 8499, 8541, 8618, 9066, 9228, 9254, 9256, 9379, 9607, 9627, 9783, 10242, 11255, 22941, 22997, 23237, 23316, 25769, 27445, 64084, 79608, 114781, 124925, 148281, 594857, 18, 41, 104, 135, 321, 488, 783, 793, 815, 1129, 1137, 1141, 1621, 1814, 1816, 1959, 1960, 1979, 2185, 2332, 2563, 2565, 2570, 2742, 2744, 2842, 2890, 2891, 2892, 2893, 2898, 2901, 2904, 2905, 2911, 2912, 2913, 2917, 2918, 3062, 3351, 3354, 3355, 3356, 3360, 3710, 3736, 3749, 3751, 3777, 3798, 3799, 4040, 4297, 4857, 4914, 4923, 4988, 5020, 5025, 5026, 5179, 5532, 5582, 5590, 5621, 5663, 5743, 5865, 6347, 6386, 6505, 6506, 6529, 6530, 6531, 6571, 6750, 6780, 6854, 6855, 6860, 6861, 7349, 7476, 7532, 7779, 8001, 8224, 8676, 8766, 8867, 8898, 8927, 9152, 9162, 9229, 9370, 9381, 9568, 9775, 10675, 10815, 10911, 11315, 11346, 23373, 23394, 23513, 23542, 23613, 27115, 27163, 29882, 29930, 30819, 50944, 53358, 54899, 55584, 57338, 57369, 57406, 57586, 60412, 80208, 80331, 81832, 85445, 114088, 116372, 116443, 140730, 143425, 246329, 344758, 388336, 440279, 594855, 729956
Gene Ontology Biological Process	GO:0098916	anterograde trans-synaptic signaling	2.65572127586185e-44	4.96857850231681e-41	1.21506547449575	3.37051473985023	enriched	591	248	216923.52284264	9369, 40, 1268, 7143, 10814, 774, 2902, 266743, 491, 2899, 5100, 22895, 127833, 729993, 777, 869, 1392, 1812, 2257, 2572, 2900, 2903, 3745, 4208, 5173, 7425, 9378, 9699, 11178, 22986, 22999, 23025, 56853, 57468, 57502, 140679, 152330, 116, 273, 785, 801, 1006, 1103, 1132, 1499, 1740, 1813, 1906, 2259, 2554, 2562, 2566, 2571, 2668, 2741, 2771, 2834, 2894, 2906, 2914, 2915, 2932, 3362, 3363, 3785, 3786, 4155, 4644, 4761, 4884, 4885, 5530, 5649, 5728, 5799, 5923, 6509, 6543, 6547, 6616, 6853, 6900, 7101, 8499, 8541, 8618, 9066, 9228, 9254, 9256, 9379, 9607, 9627, 9783, 10242, 11255, 22941, 22997, 23237, 23316, 25769, 27445, 64084, 79608, 114781, 124925, 148281, 594857, 18, 41, 104, 135, 321, 488, 783, 793, 815, 1129, 1137, 1141, 1621, 1814, 1816, 1959, 1960, 1979, 2185, 2332, 2563, 2565, 2570, 2742, 2744, 2842, 2890, 2891, 2892, 2893, 2898, 2901, 2904, 2905, 2911, 2912, 2913, 2917, 2918, 3062, 3351, 3354, 3355, 3356, 3360, 3710, 3736, 3749, 3751, 3777, 3798, 3799, 4040, 4297, 4857, 4914, 4923, 4988, 5020, 5025, 5026, 5179, 5532, 5582, 5590, 5621, 5663, 5743, 5865, 6347, 6386, 6505, 6506, 6529, 6530, 6531, 6571, 6750, 6780, 6854, 6855, 6860, 6861, 7349, 7476, 7532, 7779, 8001, 8224, 8676, 8766, 8867, 8898, 8927, 9152, 9162, 9229, 9370, 9381, 9568, 9775, 10675, 10815, 10911, 11315, 11346, 23373, 23394, 23513, 23542, 23613, 27115, 27163, 29882, 29930, 30819, 50944, 53358, 54899, 55584, 57338, 57369, 57406, 57586, 60412, 80208, 80331, 81832, 85445, 114088, 116372, 116443, 140730, 143425, 246329, 344758, 388336, 440279, 594855, 729956
Gene Ontology Biological Process	GO:0099536	synaptic signaling	3.85235782307952e-44	4.96857850231681e-41	1.21134629003876	3.35800245598639	enriched	593	249	217011.544688027	9369, 40, 1268, 7143, 10814, 774, 2902, 266743, 491, 2899, 5100, 22895, 127833, 729993, 777, 869, 1392, 1812, 2257, 2572, 2900, 2903, 3745, 4208, 5173, 7425, 9378, 9699, 11178, 22986, 22999, 23025, 56853, 57468, 57502, 140679, 152330, 116, 273, 785, 801, 1006, 1103, 1132, 1499, 1740, 1813, 1906, 2259, 2554, 2562, 2566, 2571, 2668, 2741, 2771, 2834, 2894, 2906, 2914, 2915, 2932, 3362, 3363, 3785, 3786, 4155, 4644, 4761, 4884, 4885, 5530, 5649, 5728, 5799, 5923, 6509, 6543, 6547, 6616, 6853, 6900, 7101, 8499, 8541, 8618, 9066, 9228, 9254, 9256, 9379, 9607, 9627, 9783, 10242, 11255, 22941, 22997, 23237, 23316, 25769, 27445, 64084, 79608, 114781, 124925, 148281, 594857, 18, 41, 104, 135, 321, 488, 783, 793, 815, 1129, 1137, 1141, 1621, 1814, 1816, 1959, 1960, 1979, 2185, 2332, 2563, 2565, 2570, 2742, 2744, 2842, 2890, 2891, 2892, 2893, 2898, 2901, 2904, 2905, 2911, 2912, 2913, 2917, 2918, 3062, 3351, 3354, 3355, 3356, 3360, 3710, 3736, 3749, 3751, 3777, 3798, 3799, 4040, 4297, 4842, 4857, 4914, 4923, 4988, 5020, 5025, 5026, 5179, 5532, 5582, 5590, 5621, 5663, 5743, 5865, 6347, 6386, 6505, 6506, 6529, 6530, 6531, 6571, 6750, 6780, 6854, 6855, 6860, 6861, 7349, 7476, 7532, 7779, 8001, 8224, 8676, 8766, 8867, 8898, 8927, 9152, 9162, 9229, 9370, 9381, 9568, 9775, 10675, 10815, 10911, 11315, 11346, 23373, 23394, 23513, 23542, 23613, 27115, 27163, 29882, 29930, 30819, 50944, 53358, 54899, 55584, 57338, 57369, 57406, 57586, 60412, 80208, 80331, 81832, 85445, 114088, 116372, 116443, 140730, 143425, 246329, 344758, 388336, 440279, 594855, 729956
Gene Ontology Biological Process	GO:0099537	trans-synaptic signaling	3.85235782307952e-44	4.96857850231681e-41	1.21134629003876	3.35800245598639	enriched	593	249	217011.544688027	9369, 40, 1268, 7143, 10814, 774, 2902, 266743, 491, 2899, 5100, 22895, 127833, 729993, 777, 869, 1392, 1812, 2257, 2572, 2900, 2903, 3745, 4208, 5173, 7425, 9378, 9699, 11178, 22986, 22999, 23025, 56853, 57468, 57502, 140679, 152330, 116, 273, 785, 801, 1006, 1103, 1132, 1499, 1740, 1813, 1906, 2259, 2554, 2562, 2566, 2571, 2668, 2741, 2771, 2834, 2894, 2906, 2914, 2915, 2932, 3362, 3363, 3785, 3786, 4155, 4644, 4761, 4884, 4885, 5530, 5649, 5728, 5799, 5923, 6509, 6543, 6547, 6616, 6853, 6900, 7101, 8499, 8541, 8618, 9066, 9228, 9254, 9256, 9379, 9607, 9627, 9783, 10242, 11255, 22941, 22997, 23237, 23316, 25769, 27445, 64084, 79608, 114781, 124925, 148281, 594857, 18, 41, 104, 135, 321, 488, 783, 793, 815, 1129, 1137, 1141, 1621, 1814, 1816, 1959, 1960, 1979, 2185, 2332, 2563, 2565, 2570, 2742, 2744, 2842, 2890, 2891, 2892, 2893, 2898, 2901, 2904, 2905, 2911, 2912, 2913, 2917, 2918, 3062, 3351, 3354, 3355, 3356, 3360, 3710, 3736, 3749, 3751, 3777, 3798, 3799, 4040, 4297, 4842, 4857, 4914, 4923, 4988, 5020, 5025, 5026, 5179, 5532, 5582, 5590, 5621, 5663, 5743, 5865, 6347, 6386, 6505, 6506, 6529, 6530, 6531, 6571, 6750, 6780, 6854, 6855, 6860, 6861, 7349, 7476, 7532, 7779, 8001, 8224, 8676, 8766, 8867, 8898, 8927, 9152, 9162, 9229, 9370, 9381, 9568, 9775, 10675, 10815, 10911, 11315, 11346, 23373, 23394, 23513, 23542, 23613, 27115, 27163, 29882, 29930, 30819, 50944, 53358, 54899, 55584, 57338, 57369, 57406, 57586, 60412, 80208, 80331, 81832, 85445, 114088, 116372, 116443, 140730, 143425, 246329, 344758, 388336, 440279, 594855, 729956
Gene Ontology Biological Process	GO:0007267	cell-cell signaling	2.38785566887325e-29	2.46378947914342e-26	0.694597875910789	2.00290349623673	enriched	1541	501	185629.137573005	9369, 40, 1268, 7143, 10814, 773, 774, 2889, 2902, 10076, 266743, 150, 491, 1946, 2899, 5100, 5336, 9024, 22895, 127833, 729993, 712, 777, 869, 970, 1392, 1812, 2257, 2572, 2587, 2900, 2903, 3280, 3709, 3745, 4208, 5122, 5173, 5991, 6662, 7070, 7425, 8874, 9378, 9699, 11178, 22986, 22999, 23025, 23240, 56853, 56923, 57468, 57502, 140679, 152330, 116, 273, 610, 651, 785, 801, 1006, 1103, 1132, 1394, 1499, 1740, 1813, 1906, 1951, 2259, 2554, 2562, 2566, 2571, 2668, 2741, 2771, 2834, 2894, 2906, 2914, 2915, 2932, 3090, 3170, 3362, 3363, 3625, 3785, 3786, 3975, 4087, 4155, 4644, 4761, 4884, 4885, 5155, 5530, 5649, 5728, 5744, 5799, 5923, 5978, 6233, 6336, 6361, 6509, 6543, 6547, 6566, 6616, 6853, 6885, 6900, 6926, 7090, 7101, 8499, 8541, 8618, 9066, 9228, 9254, 9256, 9379, 9607, 9627, 9783, 10021, 10082, 10242, 10297, 11255, 22881, 22941, 22997, 23237, 23316, 23409, 25769, 26523, 27445, 30011, 54361, 55512, 64084, 64211, 79608, 79705, 80223, 114781, 124925, 148281, 388630, 389692, 399979, 594857, 18, 41, 104, 135, 152, 291, 292, 301, 321, 356, 406, 408, 488, 527, 595, 627, 650, 776, 783, 793, 815, 1000, 1014, 1129, 1137, 1141, 1173, 1213, 1432, 1452, 1456, 1482, 1500, 1613, 1621, 1642, 1654, 1814, 1816, 1856, 1857, 1947, 1950, 1959, 1960, 1979, 2010, 2011, 2116, 2185, 2256, 2300, 2332, 2488, 2563, 2565, 2570, 2625, 2692, 2693, 2742, 2744, 2778, 2782, 2842, 2865, 2870, 2890, 2891, 2892, 2893, 2898, 2901, 2904, 2905, 2911, 2912, 2913, 2917, 2918, 3062, 3172, 3350, 3351, 3354, 3355, 3356, 3360, 3371, 3382, 3574, 3667, 3708, 3710, 3736, 3747, 3749, 3751, 3762, 3777, 3781, 3798, 3799, 4012, 4040, 4041, 4067, 4160, 4295, 4297, 4301, 4343, 4609, 4653, 4803, 4826, 4842, 4843, 4851, 4857, 4914, 4923, 4988, 5020, 5025, 5026, 5097, 5158, 5179, 5208, 5216, 5228, 5443, 5515, 5518, 5532, 5534, 5582, 5590, 5621, 5663, 5690, 5695, 5696, 5698, 5700, 5701, 5702, 5709, 5714, 5718, 5739, 5743, 5798, 5800, 5865, 5894, 5916, 6299, 6347, 6372, 6374, 6375, 6386, 6469, 6478, 6496, 6500, 6505, 6506, 6513, 6529, 6530, 6531, 6571, 6591, 6597, 6657, 6659, 6714, 6717, 6720, 6750, 6752, 6780, 6833, 6854, 6855, 6860, 6861, 6910, 7071, 7074, 7088, 7124, 7200, 7252, 7295, 7311, 7314, 7316, 7349, 7432, 7473, 7476, 7480, 7482, 7532, 7779, 7869, 8001, 8224, 8532, 8549, 8658, 8660, 8676, 8744, 8766, 8817, 8867, 8898, 8927, 8945, 8995, 9113, 9152, 9162, 9209, 9229, 9289, 9368, 9370, 9381, 9491, 9515, 9568, 9775, 9861, 9863, 9971, 9978, 10146, 10399, 10675, 10815, 10911, 11165, 11197, 11315, 11334, 11346, 23043, 23236, 23291, 23373, 23394, 23410, 23513, 23542, 23613, 27031, 27115, 27122, 27123, 27161, 27163, 29882, 29930, 29953, 29969, 30819, 50855, 50944, 51167, 51339, 51701, 51714, 53358, 54475, 54764, 54899, 54903, 55182, 55584, 55612, 55636, 55638, 55800, 55870, 55959, 56105, 56106, 56111, 57338, 57369, 57406, 57586, 57674, 57805, 59349, 60412, 64359, 65217, 65985, 79718, 80208, 80326, 80331, 80351, 81832, 83595, 84522, 85445, 90268, 90550, 114088, 116372, 116443, 122876, 129293, 130399, 130612, 131177, 140730, 143425, 154810, 192669, 205147, 219287, 246329, 286676, 344758, 388336, 415116, 440193, 440279, 441478, 594855, 729956
Gene Ontology Biological Process	GO:0050804	modulation of synaptic transmission	6.04858190638101e-26	5.20077234250327e-23	1.26978625943484	3.56009154504941	enriched	295	126	232291.779661017	1268, 7143, 10814, 2902, 266743, 491, 2899, 729993, 1392, 1812, 2903, 3745, 4208, 7425, 9378, 9699, 11178, 22986, 22999, 23025, 56853, 57502, 152330, 116, 801, 1813, 1906, 2259, 2668, 2771, 2914, 2915, 4761, 5530, 5649, 5728, 5923, 6543, 6547, 6616, 6853, 6900, 7101, 8541, 9066, 9254, 9627, 9783, 22941, 22997, 23237, 23316, 25769, 64084, 114781, 594857, 18, 41, 135, 488, 793, 815, 1141, 1814, 1816, 1959, 1979, 2185, 2332, 2890, 2898, 2901, 2911, 2912, 2913, 2917, 2918, 3351, 3356, 3710, 3749, 3799, 4297, 4914, 4923, 5020, 5532, 5590, 5621, 5663, 5743, 5865, 6347, 6529, 6780, 6855, 6860, 7349, 7476, 7532, 7779, 8224, 8766, 8898, 9162, 9370, 9775, 10675, 10911, 11346, 23373, 23394, 23542, 23613, 29882, 50944, 54899, 57338, 57406, 81832, 85445, 140730, 388336, 440279, 594855, 729956
Gene Ontology Biological Process	GO:0030182	neuron differentiation	2.11582947446568e-20	1.55936632268121e-17	0.628455076963448	1.87471205500173	enriched	1221	415	255948.945126945	9369, 1268, 1620, 7143, 23105, 238, 2047, 2889, 2902, 4978, 8609, 11075, 54437, 55118, 429, 491, 1600, 1788, 1946, 5090, 5295, 5361, 5909, 9024, 10439, 26011, 57556, 64072, 84894, 127833, 378, 577, 639, 869, 1002, 1400, 1608, 1630, 1808, 1812, 2596, 3084, 3280, 4208, 4747, 4780, 4897, 5818, 6095, 6662, 7070, 8851, 9378, 9480, 9699, 10090, 11178, 22999, 23025, 23242, 54541, 57468, 57502, 57540, 63950, 84298, 90249, 92558, 114787, 152330, 390992, 116, 463, 861, 864, 1496, 1499, 1687, 1813, 1951, 1977, 2019, 2288, 2562, 2637, 2668, 2932, 3170, 3398, 3975, 4684, 4744, 4761, 4884, 4916, 5454, 5458, 5530, 5649, 5727, 5728, 5802, 5803, 5923, 5978, 6616, 6654, 6695, 6900, 7101, 7430, 8022, 8633, 9394, 9423, 10381, 10570, 10752, 22854, 22954, 23081, 23098, 23114, 23129, 23316, 23440, 23654, 26038, 26047, 27164, 28988, 50861, 50863, 54361, 54549, 54897, 57453, 57580, 57611, 57624, 64211, 79414, 91584, 124925, 282991, 390598, 402117, 494470, 644168, 652991, 104, 107, 135, 152, 322, 323, 396, 466, 473, 567, 575, 627, 650, 655, 659, 815, 836, 885, 1141, 1270, 1272, 1482, 1613, 1656, 1809, 1840, 1947, 1959, 2011, 2055, 2063, 2071, 2131, 2146, 2185, 2332, 2625, 2647, 2674, 2675, 3066, 3371, 3400, 3725, 3798, 3799, 3897, 4009, 4010, 4040, 4067, 4076, 4131, 4205, 4653, 4690, 4741, 4756, 4803, 4826, 4851, 4914, 4967, 5076, 5081, 5291, 5306, 5362, 5365, 5396, 5456, 5457, 5459, 5501, 5532, 5590, 5597, 5598, 5599, 5602, 5662, 5663, 5747, 5789, 5800, 5979, 6049, 6091, 6092, 6152, 6299, 6456, 6469, 6474, 6478, 6496, 6498, 6585, 6647, 6657, 6659, 6709, 6711, 6714, 6860, 6925, 6929, 6935, 7074, 7077, 7161, 7248, 7314, 7349, 7414, 7465, 7473, 7476, 7480, 7482, 7532, 7832, 7869, 8239, 8482, 8507, 8650, 8660, 8678, 8766, 8826, 8837, 8842, 8898, 8925, 8936, 8976, 9043, 9046, 9048, 9138, 9139, 9201, 9253, 9355, 9368, 9585, 9592, 9682, 9798, 9820, 9855, 9863, 9912, 10013, 10154, 10215, 10298, 10446, 10507, 10678, 10938, 11020, 11313, 22876, 22902, 23028, 23043, 23064, 23136, 23314, 23373, 23394, 23413, 23426, 23513, 23531, 23542, 23613, 26052, 26259, 26999, 27023, 27089, 29882, 29967, 30812, 30813, 30819, 50674, 50944, 51062, 51654, 51684, 51761, 53358, 54567, 54806, 54903, 54986, 55330, 55619, 55714, 55715, 56288, 56896, 57096, 57142, 57497, 57498, 57549, 57662, 57688, 57731, 57795, 58158, 60491, 63925, 64221, 65009, 65059, 65078, 79594, 79600, 79625, 79727, 79789, 80208, 80243, 80326, 80725, 81532, 81618, 83696, 84623, 85300, 85451, 85464, 89884, 112724, 114798, 116443, 118427, 120237, 121643, 134430, 137970, 140735, 150465, 151835, 163175, 167826, 200933, 219409, 221938, 222662, 256297, 266727, 283297, 343472, 348980, 349667, 389658, 440730, 441549
Gene Ontology Biological Process	GO:0006812	cation transport	1.17829149401919e-19	7.59850727205623e-17	0.662822385012965	1.94026077668455	enriched	1063	331	162604.533396049	40, 1268, 773, 774, 2902, 150, 491, 2899, 3752, 5336, 51305, 63895, 64072, 729993, 476, 777, 1392, 1804, 1812, 2257, 2900, 2903, 3603, 3709, 3745, 3778, 4208, 5818, 7070, 10268, 23415, 30820, 56923, 57468, 57620, 80333, 121260, 125336, 140679, 728215, 116, 309, 478, 610, 785, 801, 1394, 1499, 1756, 1813, 1906, 2259, 2288, 2668, 2771, 3737, 3746, 3756, 3785, 3786, 3788, 4644, 5138, 5144, 5155, 5530, 5579, 5649, 5923, 5978, 5987, 6261, 6263, 6334, 6336, 6509, 6543, 6546, 6547, 7009, 7037, 7114, 7386, 9066, 9254, 10021, 10242, 10368, 10369, 11255, 23237, 25769, 27091, 27092, 54207, 54407, 55799, 56660, 57113, 59284, 79054, 79570, 90134, 91252, 115584, 343450, 18, 41, 81, 117, 135, 356, 468, 475, 483, 488, 493, 495, 498, 509, 514, 523, 525, 526, 527, 535, 567, 578, 776, 783, 786, 788, 815, 1137, 1141, 1213, 1236, 1260, 1261, 1272, 1318, 1329, 1345, 1347, 1351, 1482, 1535, 1814, 1950, 2185, 2332, 2512, 2859, 2898, 2901, 2905, 2917, 3350, 3351, 3356, 3359, 3565, 3708, 3710, 3736, 3738, 3744, 3747, 3748, 3749, 3751, 3757, 3762, 3763, 3768, 3773, 3777, 3781, 3783, 3799, 4067, 4638, 4697, 4842, 4846, 4878, 4923, 4948, 4988, 5025, 5026, 5142, 5621, 5663, 5664, 5743, 5774, 5777, 5788, 5865, 6323, 6326, 6337, 6338, 6340, 6347, 6375, 6505, 6510, 6528, 6531, 6548, 6571, 6717, 6769, 6833, 6860, 7040, 7248, 7349, 7421, 7531, 7779, 7871, 8065, 8514, 8912, 8996, 9033, 9104, 9114, 9152, 9311, 9368, 9377, 9525, 9551, 9780, 10089, 10266, 10396, 10463, 10559, 10632, 10768, 10891, 10975, 11060, 11315, 23413, 23443, 23542, 26133, 26521, 27012, 27089, 27112, 27133, 29979, 29985, 30818, 30819, 30845, 50944, 51458, 51606, 53373, 54433, 54499, 54503, 54800, 54805, 54946, 55240, 55244, 55334, 55515, 55584, 55636, 55676, 55800, 55858, 56901, 57084, 57153, 57156, 57181, 57190, 57214, 57338, 57380, 57419, 57582, 57628, 57731, 58515, 60598, 64116, 79026, 80036, 81033, 81832, 84561, 84766, 90550, 91689, 114780, 116443, 120103, 131096, 145389, 148867, 150094, 150159, 150684, 151258, 154091, 154215, 155066, 157855, 168507, 200010, 204962, 283652, 285195, 286133, 344905, 348980, 388662, 389015, 644139
Gene Ontology Biological Process	GO:0048699	generation of neurons	1.65948093581985e-19	9.51251349766067e-17	0.592948007846953	1.80931443411749	enriched	1341	444	252738.210290828	9369, 1268, 1620, 7143, 23105, 238, 2047, 2889, 2902, 4978, 8609, 11075, 54437, 55118, 429, 491, 1600, 1788, 1946, 5090, 5295, 5361, 5909, 9024, 10439, 26011, 57556, 64072, 84894, 127833, 378, 577, 639, 869, 1002, 1400, 1608, 1630, 1808, 1812, 2596, 3084, 3280, 4208, 4747, 4780, 4897, 5818, 6095, 6662, 7070, 8851, 9378, 9480, 9699, 10090, 11178, 22999, 23025, 23242, 54541, 57468, 57502, 57540, 63950, 83482, 84298, 90249, 92558, 114787, 152330, 390992, 116, 463, 861, 864, 1496, 1499, 1687, 1813, 1951, 1977, 2019, 2288, 2562, 2637, 2668, 2932, 3170, 3398, 3975, 4684, 4744, 4761, 4884, 4916, 5454, 5458, 5530, 5649, 5727, 5728, 5802, 5803, 5923, 5978, 6616, 6654, 6695, 6900, 7101, 7430, 8022, 8633, 8941, 9394, 9423, 10381, 10570, 10752, 22854, 22954, 23081, 23098, 23114, 23129, 23316, 23440, 23654, 26038, 26047, 27164, 28988, 50861, 50863, 54361, 54549, 54897, 57453, 57580, 57611, 57624, 64211, 79414, 89796, 91584, 124925, 282991, 390598, 402117, 494470, 644168, 652991, 104, 107, 135, 152, 322, 323, 396, 406, 466, 473, 567, 575, 627, 650, 655, 659, 815, 836, 885, 1000, 1141, 1233, 1270, 1272, 1482, 1613, 1638, 1641, 1656, 1809, 1814, 1840, 1947, 1959, 2011, 2055, 2063, 2071, 2131, 2146, 2185, 2332, 2625, 2647, 2674, 2675, 3066, 3371, 3400, 3418, 3725, 3736, 3798, 3799, 3897, 4009, 4010, 4040, 4067, 4076, 4124, 4131, 4205, 4653, 4690, 4741, 4756, 4803, 4826, 4842, 4851, 4914, 4967, 4988, 5076, 5081, 5191, 5291, 5306, 5362, 5365, 5396, 5456, 5457, 5459, 5501, 5532, 5590, 5597, 5598, 5599, 5602, 5662, 5663, 5747, 5789, 5800, 5979, 6049, 6091, 6092, 6152, 6299, 6456, 6469, 6474, 6478, 6496, 6498, 6585, 6647, 6653, 6657, 6659, 6709, 6711, 6714, 6860, 6925, 6929, 6935, 7040, 7074, 7077, 7161, 7248, 7314, 7349, 7414, 7424, 7465, 7473, 7476, 7480, 7482, 7531, 7532, 7832, 7852, 7869, 8239, 8482, 8507, 8650, 8660, 8678, 8766, 8826, 8837, 8842, 8898, 8925, 8936, 8976, 9043, 9046, 9048, 9138, 9139, 9201, 9253, 9289, 9355, 9368, 9585, 9592, 9682, 9798, 9820, 9855, 9863, 9912, 10013, 10154, 10215, 10298, 10446, 10507, 10678, 10718, 10938, 11020, 11221, 11313, 22876, 22902, 23028, 23043, 23064, 23136, 23314, 23373, 23394, 23413, 23426, 23513, 23531, 23542, 23613, 26052, 26259, 26999, 27023, 27089, 29882, 29967, 30812, 30813, 30819, 50674, 50944, 51062, 51654, 51684, 51761, 53358, 54328, 54567, 54806, 54903, 54986, 55330, 55619, 55636, 55714, 55715, 56288, 56751, 56896, 57096, 57142, 57497, 57498, 57549, 57662, 57688, 57731, 57795, 58158, 60491, 63925, 64221, 65009, 65059, 65078, 79594, 79600, 79625, 79727, 79789, 80208, 80237, 80243, 80326, 80725, 81532, 81618, 83696, 84623, 85300, 85451, 85464, 89884, 92737, 112724, 114798, 116443, 118427, 120237, 121643, 134430, 137970, 140735, 150465, 151835, 163175, 167826, 200933, 219409, 221938, 222662, 222894, 256297, 266727, 283297, 343472, 348980, 349667, 389658, 440730, 441549
Gene Ontology Biological Process	GO:0048666	neuron development	7.81342236489974e-19	4.03094459805178e-16	0.660965208371288	1.93666071370252	enriched	972	339	261901.050411523	9369, 1268, 7143, 23105, 238, 2047, 2889, 2902, 4978, 8609, 11075, 54437, 55118, 429, 491, 1600, 1946, 5090, 5295, 5361, 5909, 9024, 10439, 26011, 57556, 64072, 84894, 127833, 378, 577, 639, 1002, 1400, 1608, 1630, 1808, 1812, 2596, 3084, 3280, 4208, 4747, 4780, 4897, 5818, 7070, 8851, 9378, 9480, 9699, 10090, 11178, 22999, 23025, 23242, 57468, 84298, 90249, 92558, 114787, 152330, 116, 861, 864, 1496, 1813, 1951, 2019, 2288, 2562, 2637, 2668, 2932, 3398, 3975, 4684, 4744, 4761, 4884, 4916, 5454, 5458, 5530, 5649, 5728, 5802, 5803, 5923, 6616, 6654, 6695, 6900, 7101, 7430, 8022, 8633, 9394, 9423, 10381, 10570, 10752, 22854, 22954, 23098, 23114, 23129, 23316, 23654, 26047, 27164, 28988, 50861, 50863, 57453, 57580, 57611, 57624, 79414, 91584, 124925, 282991, 390598, 494470, 644168, 652991, 104, 107, 135, 322, 323, 396, 466, 473, 567, 575, 627, 655, 659, 815, 885, 1141, 1270, 1272, 1809, 1947, 1959, 2011, 2063, 2131, 2146, 2185, 2332, 2625, 2647, 2674, 2675, 3066, 3371, 3725, 3798, 3799, 3897, 4009, 4067, 4076, 4131, 4205, 4653, 4690, 4741, 4756, 4803, 4851, 4914, 4967, 5076, 5291, 5306, 5362, 5365, 5396, 5457, 5459, 5532, 5590, 5597, 5598, 5599, 5602, 5662, 5663, 5747, 5789, 5800, 5979, 6049, 6091, 6092, 6152, 6456, 6469, 6474, 6478, 6498, 6585, 6647, 6709, 6711, 6714, 6860, 7074, 7248, 7314, 7349, 7414, 7465, 7473, 7476, 7832, 7869, 8239, 8482, 8507, 8650, 8660, 8678, 8766, 8826, 8837, 8898, 8925, 8936, 8976, 9046, 9048, 9138, 9139, 9201, 9253, 9355, 9368, 9585, 9798, 9820, 9855, 9863, 9912, 10013, 10154, 10298, 10446, 10507, 10678, 10938, 11020, 11313, 22876, 22902, 23028, 23043, 23064, 23136, 23373, 23394, 23413, 23426, 23513, 23542, 23613, 26052, 26259, 26999, 27023, 27089, 29882, 29967, 30813, 30819, 50674, 50944, 51062, 51761, 53358, 54806, 54903, 54986, 55330, 55619, 55714, 55715, 56288, 56896, 57096, 57142, 57497, 57498, 57549, 57662, 57688, 57731, 58158, 63925, 64221, 65009, 65059, 65078, 79594, 79600, 79625, 79789, 80208, 80243, 80725, 81532, 81618, 84623, 85300, 85451, 85464, 89884, 112724, 114798, 116443, 118427, 134430, 137970, 140735, 150465, 151835, 163175, 200933, 222662, 283297, 343472, 348980, 349667, 389658, 440730, 441549
